rep,trt,length_rate,width_rate,height_rate,spad_rate
1,a,0.10625,0.0875,0.4375,-0.3113125
2,a,0.075,0.025,0.36875,-0.4000625
3,a,0.025,-0.05625,0.4,-0.2680625
4,a,0.1125,0.05,0.475,-0.1755
5,a,0.075,0.06875,0.34375,-0.203125
1,b,0.16875,0.1375,0.7375,-0.5925625
2,b,0.2125,0.20625,0.65,-0.1510625
3,b,0.1625,0.1375,0.6,-0.575375
4,b,0.19375,0.19375,0.625,-0.411625
5,b,0.21875,0.1875,0.63125,-0.35675
1,c,0.1375,0.08125,0.61875,0.2056875
2,c,0.18125,0.15625,0.6,-0.150375
3,c,0.225,0.21875,0.6125,-0.2823125
4,c,0.15625,0.1375,0.475,-0.54575
5,c,0.1625,0.11875,0.48125,-0.3751875
